Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Red Dog,Dec,31,2011,9.1,0,20.927794,20.927794
Khumba,Dec,6,2013,15,0,20.898221,20.898221
A Thousand Words,Mar,9,2012,40,18.450127,20.790486,2.340359
Left Behind,Oct,3,2014,16,14.019924,20.769209,6.749285
Fifty Shades of Black,Jan,29,2016,5,11.68694,20.765352,9.078412
It Follows,Mar,13,2015,2,14.674077,20.649774,5.975697
Keanu,Apr,29,2016,15,20.591853,20.609977,0.018124
Country Strong,Dec,22,2010,15,20.218921,20.601987,0.383066
The Nutcracker in 3D,Nov,24,2010,90,0.195459,20.466016,20.270557
Margin Call,Oct,21,2011,3.4,5.353586,20.433227,15.079641
Shame,Dec,2,2011,6.5,4.002293,20.412841,16.410548
Hodejegerne,Apr,27,2012,5.25,1.20001,20.18874,18.98873
Legends of Oz: Dorothy’s Return,May,9,2014,70,8.462347,20.107933,11.645586
Another Year,Dec,29,2010,8,3.205706,20.005613,16.799907
Un Prophète,Feb,26,2010,13,2.08772,19.910624,17.822904
Youth in Revolt,Jan,8,2010,18,15.285588,19.685588,4.4
Dead Man Down,Mar,8,2013,30,10.895295,19.599974,8.704679
Before I Go to Sleep,Oct,31,2014,22,3.242457,19.563579,16.321122
Blackhat,Jan,16,2015,70,7.889395,19.535476,11.646081
Mine Vaganti,Dec,31,2010,9.1,0,18.872126,18.872126
Admission,Mar,22,2013,13,18.007317,18.733666,0.726349
Housefull,Apr,30,2010,10.1,1.183658,18.7263,17.542642
[Rec] 2,Jul,9,2010,5.6,0.027766,18.527766,18.5
Sabotage,Mar,28,2014,35,10.508518,18.376443,7.867925
Jagten,May,17,2013,3.45,0.687185,18.309793,17.622608
Machete Kills,Oct,11,2013,20,8.008161,18.273009,10.264848
Repo Men,Mar,19,2010,32,13.942007,18.195238,4.253231
Dope,Jun,19,2015,7,17.50647,18.190831,0.684361
Stolen,Sep,14,2012,35,0.289773,17.967746,17.677973
Brothers,Aug,14,2015,13,0.656688,17.856688,17.2
The Infiltrator,Jul,13,2016,47.5,15.43142,17.824753,2.393333
The Oxford Murders,Aug,6,2010,10,0.004803,17.704131,17.699328
Little Boy,Apr,24,2015,20,6.485961,17.684355,11.198394
Fruitvale Station,Jul,12,2013,0.9,16.098998,17.549645,1.450647
Addicted,Oct,10,2014,5,17.39077,17.499242,0.108472
Glee: The 3D Concert Movie,Aug,10,2011,9,11.862398,17.462398,5.6
And So It Goes,Jul,25,2014,18,15.160801,17.360801,2.2
Hit & Run,Aug,22,2012,22,13.7493,17.216955,3.467655
Kites,May,21,2010,9.2,1.685269,17.155193,15.469924
Somewhere,Dec,22,2010,7,1.785645,17.023121,15.237476
My Soul to Take,Oct,8,2010,25,14.744435,16.72747,1.983035
Battle of the Year,Sep,20,2013,20,8.888355,16.723377,7.835022
Silent House,Mar,9,2012,2,12.739737,16.61076,3.871023
Blue Valentine,Dec,29,2010,1,9.737892,16.56624,6.828348
Sea Rex 3D: Journey to a Prehistoric World,May,28,2010,5,6.096582,16.515203,10.418621
The Words,Sep,7,2012,6,11.494838,16.369708,4.87487
Pride and Prejudice and Zombies,Feb,5,2016,28,10.907291,16.311335,5.404044
Paranoia,Aug,16,2013,40,7.388654,16.173593,8.784939
Winter's Bone,Jun,11,2010,2,6.531503,16.131551,9.600048
Incendies,Sep,17,2010,6.8,6.857096,16.038343,9.181247
The Conspirator,Apr,15,2011,25,11.538204,15.907411,4.369207
Big Eyes,Dec,25,2014,10,14.482031,15.875318,1.393287
Haevnen,Apr,1,2011,5.5,1.008098,15.867314,14.859216
Extraordinary Measures,Jan,22,2010,31,12.482741,15.826984,3.344243
Anonymous,Oct,28,2011,27.5,4.463292,15.815509,11.352217
The Last Station,Jan,15,2010,18,6.617867,15.696146,9.078279
Made in Dagenham,Nov,19,2010,8,1.095369,15.644196,14.548827
Out of the Furnace,Dec,4,2013,22,11.330849,15.434375,4.103526
Ida,May,2,2014,2.6,3.82706,15.298355,11.471295
Snezhnaya koroleva,Jan,28,2014,7,0,15.20633,15.20633
Io sono l’amore,Jun,18,2010,10,5.005465,15.132211,10.126746
The Reef,Dec,31,2010,10,0,15.037867,15.037867
Scout's Guide to the Zombie Apocalypse,Oct,30,2015,15,3.703046,14.947243,11.244197
Regression,Oct,30,2015,20,0.055039,14.883495,14.828456
A Dangerous Method,Nov,23,2011,20,5.702083,14.807531,9.105448
Khiladi 786,Dec,7,2012,5.6,0.385422,14.683763,14.298341
Beyond the Lights,Nov,14,2014,7,14.618727,14.618727,0
Red Lights,Jul,13,2012,17.7,0.049521,14.518884,14.469363
Beginners,Jun,3,2011,3.2,5.790894,14.314407,8.523513
Do You Believe?,Mar,20,2015,2.3,12.9856,14.30554,1.31994
Labor Day,Jan,31,2014,18,13.371528,14.18981,0.818282
The Gunman,Mar,20,2015,40,10.664749,13.644292,2.979543
Redemption,Jun,28,2013,23,0.036686,13.593473,13.556787
Le Havre,Oct,21,2011,5.5,0.611709,13.480196,12.868487
While We're Young,Mar,27,2015,10,7.582065,13.423176,5.841111
Akmareul Boatda,Mar,4,2011,6,0.12921,13.168809,13.039599
Hillary’s America: The Secret History of the Democratic Party,Jul,15,2016,5,13.086824,13.086824,0
